Artist,Title,Popularity,Duration_ms,Album,Danceability,Acousticness,Energy,Liveness,Loudness,Valence,Tempo,Speechiness,Artist_Popularity,Artist_Genres,Artist_Followers,Artist_Country,Artist_Song,Song_ID
Sara Bareilles,BOTTLE IT UP,40,180626,Little Voice,0.621,0.199,0.717,0.153,-4.161,0.699,132.815,0.0326,65,"acoustic pop, lilith, neo mellow, pop rock, post-teen pop",1955567,Unknown,Sara Bareilles - BOTTLE IT UP,5592
Enrique Iglesias,CAN YOU HEAR ME,22,222546,Greatest Hits,0.842,0.0111,0.627,0.0764,-3.688,0.54,116.991,0.0439,79,"dance pop, latin pop, mexican pop",11230466,Unknown,Enrique Iglesias - CAN YOU HEAR ME,5593
Richard Durand,WEEP,6,180828,A State Of Trance Episode 384 (Year Mix 2008),0.619,1.75E-05,0.87,0.504,-8.503,0.0508,138.041,0.0463,47,"dutch trance, progressive house, progressive trance, trance, uplifting trance",54967,Unknown,Richard Durand - WEEP,5594
Jean Claude Ades & Vincent Thomas,SHINGALING,0,360834,Shingaling,0.823,0.000189,0.819,0.0798,-7.413,0.942,128.998,0.0593,29,,5250,Unknown,Jean Claude Ades & Vincent Thomas - SHINGALING,5595
Chris Brown,FOREVER,76,278573,Forever,0.672,0.0368,0.82,0.184,-4.456,0.438,120.005,0.0459,88,"r&b, rap",24084771,Unknown,Chris Brown - FOREVER,5596
Colbie Caillat,REALIZE,50,244106,Coco,0.693,0.13,0.594,0.115,-6.408,0.192,123.933,0.0325,68,"dance pop, neo mellow, pop",2524328,Unknown,Colbie Caillat - REALIZE,5597
Rihanna,TAKE A BOW,73,229413,Good Girl Gone Bad: Reloaded,0.518,0.248,0.467,0.0941,-7.536,0.559,79.965,0.162,92,"barbadian pop, pop, urban contemporary",63753126,Unknown,Rihanna - TAKE A BOW,5598
Anouk,MODERN WORLD,38,210133,Who's Your Momma,0.702,0.122,0.759,0.126,-4.78,0.677,120.191,0.0632,54,"dutch pop, dutch rock",378335,Unknown,Anouk - MODERN WORLD,5599
Pete Philly & Perquisite,MYSTERY REPEATS,26,138382,Armada Night Radio 108,0.463,0.554,0.524,0.736,-6.247,0.327,72.432,0.0346,13,,21,Unknown,Pete Philly & Perquisite - MYSTERY REPEATS,5600
Pussycat Dolls,WHEN I GROW UP,69,245680,Doll Domination (Deluxe),0.672,0.00165,0.685,0.398,-5.762,0.367,118.45,0.0499,70,"dance pop, girl group, pop",5797246,Unknown,Pussycat Dolls - WHEN I GROW UP,5601
